order_id,order_date
1961864118,17-07-2024 08:34
1549769649,28-05-2024 13:14
9185164487,23-09-2024 13:07
9644738826,24-11-2023 16:16
5427684290,20-11-2023 05:00
3265154092,18-03-2023 16:29
4898355547,16-04-2023 18:50
6568151549,31-03-2024 06:26
6006693867,13-07-2023 23:49
374186990,09-08-2023 01:17
4455336265,30-08-2023 19:37
3539286337,25-04-2023 20:32
9171116867,22-10-2023 11:15
5504941865,28-01-2024 02:39
5868326481,15-03-2024 21:07
2137046916,03-02-2024 08:50
8195544338,26-04-2023 04:03
2889700050,30-04-2024 16:22
65827885,27-07-2023 00:13
4656471694,09-12-2023 08:08
6625178717,01-07-2023 04:24
7169557514,21-03-2023 05:27
2268306684,28-05-2024 14:59
6905293278,16-06-2024 10:23
1769493463,26-06-2024 07:13
5003387344,23-06-2024 10:53
2064484752,07-05-2024 22:42
964822979,13-07-2024 10:38
6037899648,27-03-2024 17:44
9347571484,02-11-2024 17:15
3286177534,24-06-2023 23:52
9073572548,02-05-2023 23:13
8395583761,04-08-2024 23:35
6355378227,11-08-2023 16:52
277376321,28-07-2024 04:25
8559748526,05-04-2023 18:07
1458051433,26-04-2024 09:14
5838302640,12-05-2023 05:46
1380971977,02-06-2024 13:04
1221099013,23-07-2023 10:45
6771166303,24-07-2023 04:21
7111337755,06-05-2023 05:52
5562922993,06-12-2023 02:04
5630957897,18-06-2024 07:17
1787380558,08-11-2023 17:24
32613017,17-03-2023 00:20
2039041670,01-11-2024 09:45
210693801,21-08-2024 03:59
8120002258,01-01-2024 00:05
2177917034,08-02-2024 20:03
4254814926,21-04-2024 06:14
6074172790,26-07-2023 02:15
3381573131,16-07-2024 00:33
3773745777,02-05-2024 14:40
9251939156,30-12-2023 12:39
3872982303,03-02-2024 01:04
2625987757,01-08-2023 07:42
3162249401,03-05-2024 13:21
3108986741,17-10-2023 19:29
1851474741,01-11-2023 13:29
2425099132,15-08-2023 01:15
6706793332,09-10-2024 21:50
2149289255,01-11-2024 15:00
1971008155,23-10-2023 22:23
2087093460,11-07-2024 11:31
2116712588,11-11-2023 20:33
6054358790,26-01-2024 10:11
532660797,20-05-2024 06:25
1491991005,04-03-2024 08:49
4136019599,23-03-2024 18:38
2122832513,17-02-2024 19:48
3717703595,24-04-2023 21:33
